year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1662,+1,+2,+1,+1,-2,00,-1,-1,-1,00,00,-2
1663,-2,-2,-1,-1,-1,-2,-1,-1,00,-1,00,+1
1664,00,00,00,-1,00,+1,+1,-1,-1,-1,-2,-1
1665,-3,-2,-3,00,00,00,00,-1,00,-2,00,00
1666,-1,00,-2,+2,+2,+2,+2,00,-2,00,00,00
1667,-2,+2,00,-1,-1,00,+2,-1,00,00,-2,00
1668,+1,+2,-1,-1,-1,-1,00,-1,-2,+2,+2,+2
1669,-1,+1,-1,00,-1,+2,+2,+1,+1,+1,00,-1
1670,-3,-2,00,00,00,00,00,00,00,-1,-2,00
1671,+2,+2,+1,+1,+2,00,+1,+1,00,+1,-1,00
1672,-2,-2,+1,-1,00,00,-2,-1,-1,00,00,00
1673,+2,+2,00,00,-1,-2,-2,+1,-1,-1,00,+1
1674,-2,-2,-2,00,00,-1,00,-1,00,00,-1,+1
1675,+2,+1,-1,-1,-1,-1,-1,00,-1,-1,-2,+1
1676,+2,+2,-2,-2,-1,+1,00,-1,00,-1,-2,-2
1677,00,-1,00,-1,-2,-1,00,-1,-1,-1,-1,-1
1678,+2,+1,-1,00,+1,00,+2,+2,+2,00,-1,00
1679,-2,-1,-2,00,00,-1,00,00,-1,00,00,00
1680,00,+1,00,00,00,00,+1,+2,+1,00,00,-2
1681,-2,-2,-1,+1,-2,00,00,00,00,00,+1,-2
1682,+2,+1,00,-1,00,00,-1,-1,-1,-1,+1,+1
1683,00,+1,-1,00,00,+1,00,-2,+1,-2,-2,-1
1684,-3,-2,-2,-1,+1,+3,+2,+3,+1,00,-2,-1
1685,-2,-1,-2,00,-1,-2,-2,00,-1,00,00,+1
1686,+2,+1,00,00,+3,+1,00,-1,00,-1,00,00
1687,00,00,-1,00,-1,00,00,00,00,00,00,00
1688,-2,-1,-1,-1,-1,-1,00,-1,-1,00,00,-1
1689,-1,00,-2,00,00,-1,00,00,-1,-1,-2,00
1690,+2,+1,-1,00,-1,-1,00,00,-2,00,00,00
1691,-2,-2,00,-2,-2,00,-1,00,-1,00,-2,-1
1692,-3,-2,-1,00,-1,-1,-1,00,-1,-1,00,-2
1693,00,+2,-1,00,-2,+2,-1,-1,-1,-2,00,-2
1694,-2,+1,-1,-1,+1,-1,-1,-1,-1,-2,-2,-2
1695,-3,-3,-2,-1,-2,-1,-2,-1,00,00,00,00
1696,+2,+2,-2,00,-1,-1,00,-1,-1,-1,+1,-1
1697,-3,-2,00,-1,00,00,00,-1,-1,00,-1,-1
1698,-2,-1,-1,-1,00,-1,00,00,-1,00,-1,00
